KeyWord;Score;class_labelized;class
late 19th century;7.53;0;Baseball
national league;7.07;0;Baseball
major leagues;6.68;0;Baseball
home run;6.04;0;Baseball
second baseman;5.84;0;Baseball
two outs;5.63;0;Baseball
third base;5.17;0;Baseball
first base;4.94;0;Baseball
batting order;4.7;0;Baseball
nine innings;4.67;0;Baseball
lineup card;4.6;0;Baseball
foul territory;4.54;0;Baseball
second base;4.39;0;Baseball
foul lines;4.29;0;Baseball
first batter;4.1;0;Baseball
organized play;4.06;0;Baseball
handed hitter;4.05;0;Baseball
box score;4.0;0;Baseball
united states;4.0;0;Baseball
fifth batter;3.7;0;Baseball
score runs;3.67;0;Baseball
warning track;3.61;0;Baseball
line drive;3.5;0;Baseball
turn;3.4;0;Baseball
leading;3.33;0;Baseball
one;3.12;0;Baseball
baseball;2.87;0;Baseball
used;2.86;0;Baseball
game;2.81;0;Baseball
two;2.8;0;Baseball
also;2.67;0;Baseball
third;2.62;0;Baseball
position;2.57;0;Baseball
base;2.55;0;Baseball
hitters;2.5;0;Baseball
outside;2.43;0;Baseball
first;2.39;0;Baseball
three;2.38;0;Baseball
players;2.3;0;Baseball
caught;2.2;0;Baseball
white;2.2;0;Baseball
player;2.18;0;Baseball
team;2.11;0;Baseball
may;2.07;0;Baseball
field;2.07;0;Baseball
play;2.06;0;Baseball
hitter;2.05;0;Baseball
make;2.0;0;Baseball
lineup;2.0;0;Baseball
called;2.0;0;Baseball
innings;2.0;0;Baseball
spot;2.0;0;Baseball
particular;2.0;0;Baseball
catcher;2.0;0;Baseball
winning;2.0;0;Baseball
fielder;1.89;0;Baseball
pitcher;1.88;0;Baseball
track;1.86;0;Baseball
hit;1.85;0;Baseball
second;1.84;0;Baseball
played;1.8;0;Baseball
power;1.75;0;Baseball
top;1.75;0;Baseball
often;1.75;0;Baseball
early;1.71;0;Baseball
set;1.71;0;Baseball
batter;1.7;0;Baseball
grass;1.67;0;Baseball
runs;1.67;0;Baseball
speed;1.67;0;Baseball
bowlers;1.67;0;Baseball
natural;1.67;0;Baseball
sacrifice;1.67;0;Baseball
sport;1.67;0;Baseball
shortstop;1.67;0;Baseball
right;1.67;0;Baseball
bat;1.56;0;Baseball
drive;1.5;0;Baseball
beginning;1.5;0;Baseball
source;1.5;0;Baseball
history;1.5;0;Baseball
ball;1.45;0;Baseball
hole;1.33;0;Baseball
since;1.33;0;Baseball
made;1.33;0;Baseball
case;1.33;0;Baseball
point;1.33;0;Baseball
part;1.33;0;Baseball
usually;1.33;0;Baseball
use;1.33;0;Baseball
blue;1.33;0;Baseball
ability;1.25;0;Baseball
struck;1.25;0;Baseball
stars;1.25;0;Baseball
left;1.2;0;Baseball
threw;1.2;0;Baseball
runners;1.2;0;Baseball
canada;1.0;0;Baseball
rounders;1.0;0;Baseball
non;1.0;0;Baseball
well;1.0;0;Baseball
though;1.0;0;Baseball
known;1.0;0;Baseball
stepped;1.0;0;Baseball
wall;1.0;0;Baseball
get;1.0;0;Baseball
japan;1.0;0;Baseball
athletes;1.0;0;Baseball
throw;1.0;0;Baseball
attempts;1.0;0;Baseball
member;1.0;0;Baseball
lead;1.0;0;Baseball
unless;1.0;0;Baseball
put;1.0;0;Baseball
english;1.0;0;Baseball
held;1.0;0;Baseball
referred;1.0;0;Baseball
runner;1.0;0;Baseball
closest;1.0;0;Baseball
direction;1.0;0;Baseball
baserunners;1.0;0;Baseball
clean;1.0;0;Baseball
likely;1.0;0;Baseball
infield;1.0;0;Baseball
long;1.0;0;Baseball
none;1.0;0;Baseball
addition;1.0;0;Baseball
recognized;1.0;0;Baseball
year;1.0;0;Baseball
nation;1.0;0;Baseball
introduced;1.0;0;Baseball
walk;1.0;0;Baseball
dropped;1.0;0;Baseball
credited;1.0;0;Baseball
cuba;1.0;0;Baseball
expected;1.0;0;Baseball
st;1.0;0;Baseball
national basketball players association;15.99;1;Basketball
naismith memorial basketball hall;14.15;1;Basketball
valuable player award;8.33;1;Basketball
nba first team;8.0;1;Basketball
holy cross;6.31;1;Basketball
first president;5.15;1;Basketball
nba first;5.04;1;Basketball
joe mullaney;5.0;1;Basketball
future hall;4.8;1;Basketball
six freshmen;4.67;1;Basketball
boston celtics;4.55;1;Basketball
celtics reached;4.55;1;Basketball
cousy introduced;4.46;1;Basketball
passing skills;4.33;1;Basketball
back dribbling;4.11;1;Basketball
next tournament;4.11;1;Basketball
playing time;4.0;1;Basketball
1950 ncaa tournament;3.86;1;Basketball
cincinnati royals;3.67;1;Basketball
basketball;3.35;1;Basketball
two;3.2;1;Basketball
star;3.2;1;Basketball
american;3.0;1;Basketball
fame;3.0;1;Basketball
team;2.96;1;Basketball
assists;2.94;1;Basketball
three;2.83;1;Basketball
school;2.78;1;Basketball
coach;2.75;1;Basketball
led;2.67;1;Basketball
cousy;2.66;1;Basketball
screener;2.6;1;Basketball
celtics;2.55;1;Basketball
league;2.5;1;Basketball
get;2.5;1;Basketball
would;2.43;1;Basketball
game;2.33;1;Basketball
last;2.33;1;Basketball
season;2.27;1;Basketball
life;2.25;1;Basketball
nba;2.22;1;Basketball
playing;2.22;1;Basketball
women;2.2;1;Basketball
eight;2.2;1;Basketball
points;2.2;1;Basketball
played;2.17;1;Basketball
also;2.17;1;Basketball
back;2.11;1;Basketball
year;2.09;1;Basketball
named;2.0;1;Basketball
could;2.0;1;Basketball
boston;2.0;1;Basketball
time;1.78;1;Basketball
3 seasons;1.75;1;Basketball
number;1.67;1;Basketball
use;1.67;1;Basketball
court;1.62;1;Basketball
play;1.6;1;Basketball
cutter;1.5;1;Basketball
went;1.5;1;Basketball
called;1.5;1;Basketball
half;1.4;1;Basketball
one;1.36;1;Basketball
powered;1.33;1;Basketball
behind;1.29;1;Basketball
record;1.29;1;Basketball
hawks 4;1.25;1;Basketball
division;1.25;1;Basketball
making;1.2;1;Basketball
started;1.2;1;Basketball
including;1.0;1;Basketball
however;1.0;1;Basketball
regarded;1.0;1;Basketball
result;1.0;1;Basketball
addition;1.0;1;Basketball
basket;1.0;1;Basketball
summer;1.0;1;Basketball
nbl;1.0;1;Basketball
described;1.0;1;Basketball
continued;1.0;1;Basketball
start;1.0;1;Basketball
failing;1.0;1;Basketball
win;1.0;1;Basketball
much;1.0;1;Basketball
family;1.0;1;Basketball
still;1.0;1;Basketball
ball;1.0;1;Basketball
houdini;1.0;1;Basketball
hardwood;1.0;1;Basketball
nickname;1.0;1;Basketball
opposition;1.0;1;Basketball
massachusetts;1.0;1;Basketball
hit;1.0;1;Basketball
fact;1.0;1;Basketball
close;1.0;1;Basketball
coached;1.0;1;Basketball
make;1.0;1;Basketball
cut;1.0;1;Basketball
voted;1.0;1;Basketball
wanted;1.0;1;Basketball
spent;1.0;1;Basketball
tri;1.0;1;Basketball
using;1.0;1;Basketball
promoted;1.0;1;Basketball
#14 jersey;1.0;1;Basketball
pga tour;5.71;2;Golf
open championship;5.18;2;Golf
united states;4.8;2;Golf
hole course;4.74;2;Golf
first shot;4.73;2;Golf
standard course;4.55;2;Golf
iron shots;4.33;2;Golf
first played;4.33;2;Golf
woods released;4.32;2;Golf
stroke play;4.07;2;Golf
british open;3.92;2;Golf
associate member;3.75;2;Golf
quality grasses;3.67;2;Golf
club continues;3.61;2;Golf
golf;3.16;2;Golf
may;3.06;2;Golf
win;2.86;2;Golf
links;2.8;2;Golf
named;2.75;2;Golf
one;2.71;2;Golf
winning;2.67;2;Golf
among;2.67;2;Golf
clubs;2.57;2;Golf
courses;2.57;2;Golf
course;2.55;2;Golf
world;2.44;2;Golf
players;2.42;2;Golf
missed;2.33;2;Golf
woods;2.32;2;Golf
senior;2.29;2;Golf
use;2.27;2;Golf
either 9;2.25;2;Golf
open;2.25;2;Golf
wolf;2.25;2;Golf
higher;2.2;2;Golf
hole;2.19;2;Golf
tournament;2.12;2;Golf
18 holes;2.12;2;Golf
holes;2.12;2;Golf
year;2.09;2;Golf
golfer;2.0;2;Golf
would;2.0;2;Golf
making;2.0;2;Golf
player;2.0;2;Golf
tiger;2.0;2;Golf
putts;2.0;2;Golf
area;2.0;2;Golf
club;1.94;2;Golf
distance;1.88;2;Golf
ladies;1.83;2;Golf
event;1.83;2;Golf
play;1.82;2;Golf
par;1.82;2;Golf
record;1.8;2;Golf
season;1.75;2;Golf
markers;1.75;2;Golf
normal;1.67;2;Golf
tee;1.67;2;Golf
held;1.67;2;Golf
women;1.67;2;Golf
green;1.62;2;Golf
played;1.6;2;Golf
game;1.57;2;Golf
grass;1.57;2;Golf
ball;1.53;2;Golf
rules;1.5;2;Golf
playing;1.5;2;Golf
line;1.5;2;Golf
handicap;1.5;2;Golf
money;1.5;2;Golf
short;1.5;2;Golf
became;1.44;2;Golf
used;1.43;2;Golf
men;1.4;2;Golf
made;1.4;2;Golf
bounds;1.33;2;Golf
good;1.33;2;Golf
part;1.33;2;Golf
common;1.33;2;Golf
drive;1.33;2;Golf
putt;1.33;2;Golf
years;1.33;2;Golf
hitting;1.33;2;Golf
name;1.33;2;Golf
fairway;1.2;2;Golf
set;1.0;2;Golf
rough;1.0;2;Golf
sand;1.0;2;Golf
easier;1.0;2;Golf
difficult;1.0;2;Golf
stance;1.0;2;Golf
rest;1.0;2;Golf
california;1.0;2;Golf
website;1.0;2;Golf
case;1.0;2;Golf
number;1.0;2;Golf
grain;1.0;2;Golf
evolved;1.0;2;Golf
instance;1.0;2;Golf
able;1.0;2;Golf
hit;1.0;2;Golf
saying;1.0;2;Golf
wrong;1.0;2;Golf
accident;1.0;2;Golf
statement;1.0;2;Golf
helping;1.0;2;Golf
well;1.0;2;Golf
ability;1.0;2;Golf
constructed;1.0;2;Golf
considered;1.0;2;Golf
amateurs;1.0;2;Golf
broken;1.0;2;Golf
built;1.0;2;Golf
followed;1.0;2;Golf
metal;1.0;2;Golf
replaced;1.0;2;Golf
federation;1.0;2;Golf
hip;1.0;2;Golf
việt võ đạo federation;27.44;3;Judo
vovinam việt võ đạo;25.69;3;Judo
việt võ đạo;22.32;3;Judo
nguyễn lộc;17.43;3;Judo
viet vo dao;13.42;3;Judo
vietnamese martial arts;9.07;3;Judo
nguyễn;8.56;3;Judo
dương;7.25;3;Judo
martial arts;6.07;3;Judo
vovinam schools;5.88;3;Judo
martial art;5.77;3;Judo
international vovinam;5.71;3;Judo
weave gis;5.56;3;Judo
vovinam student;5.09;3;Judo
